state,crop,season,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,area_hectares,pesticide_kg,irrigation_mm,yield_tons_per_hectare
Bihar,Soybean,Kharif,1017.84,28.24,34.48,23.95,52.59,6.64,91.33,48.69,71.25,18.62,12.11,248.96,4.213
Haryana,Wheat,Rabi,857.06,27.34,35.41,23.17,58.6,6.25,87.16,21.88,70.43,9.03,12.87,498.94,4.659
Maharashtra,Barley,Rabi,787.03,25.05,30.18,20.54,71.29,5.6,100.74,59.94,34.26,10.49,2.48,774.87,4.608
Maharashtra,Wheat,Rabi,1256.52,25.13,31.32,20.73,72.05,6.69,65.33,41.73,37.31,10.8,14.41,951.96,5.67
Haryana,Barley,Zaid,832.05,17.47,23.42,8.02,58.73,5.0,79.07,42.67,34.46,6.41,5.18,355.44,5.191
Haryana,Wheat,Rabi,813.28,30.08,36.94,20.12,58.74,6.24,38.52,38.11,21.62,16.5,14.35,712.73,4.656
Punjab,Soybean,Kharif,354.61,21.87,26.11,16.39,53.44,5.95,71.61,25.63,18.31,3.23,6.08,260.53,2.644
Bihar,Maize,Kharif,801.26,29.24,33.25,24.57,52.58,6.49,70.82,34.48,36.65,11.07,11.82,1041.2,4.953
Haryana,Rice,Kharif,348.24,18.52,26.62,13.15,68.39,6.96,24.86,33.04,61.25,4.19,1.19,338.21,5.146
Bihar,Wheat,Kharif,1027.54,17.9,25.62,12.45,79.25,5.89,104.94,10.24,70.47,15.67,2.86,972.94,5.457
Haryana,Rice,Kharif,784.16,20.92,28.55,11.02,78.63,5.95,51.84,49.96,54.05,5.8,6.5,517.64,6.129
Uttar Pradesh,Barley,Kharif,868.4,23.22,31.57,14.97,85.75,7.32,109.0,39.69,23.19,4.02,10.55,372.94,4.88
Bihar,Maize,Kharif,838.74,25.6,35.56,18.09,65.14,6.65,108.04,36.81,55.42,7.19,1.23,794.57,5.93
Bihar,Maize,Rabi,823.01,30.98,36.37,21.74,65.47,5.99,75.35,29.81,59.05,18.28,8.72,958.42,4.576
Maharashtra,Barley,Kharif,897.79,24.99,33.77,17.87,58.95,6.12,108.97,29.75,59.37,4.16,14.44,378.44,5.387
Bihar,Barley,Zaid,594.34,15.42,23.82,6.15,65.37,6.43,94.17,46.56,65.89,14.46,2.02,1103.97,4.659
Uttar Pradesh,Barley,Zaid,778.22,33.14,41.6,29.0,87.86,6.52,91.93,54.38,40.65,8.32,9.33,780.99,4.537
Karnataka,Wheat,Rabi,742.25,30.54,36.81,24.18,65.17,6.7,88.46,26.97,77.07,6.47,1.93,953.5,5.68
Haryana,Barley,Rabi,1032.83,19.29,26.42,12.48,64.44,6.67,68.15,57.97,57.41,12.64,2.11,452.44,5.178
Haryana,Rice,Zaid,899.62,30.74,40.63,21.02,51.88,6.67,50.45,37.64,21.3,21.22,9.44,742.36,5.539
Haryana,Barley,Kharif,781.42,31.25,38.75,22.84,70.75,5.58,60.49,48.0,65.2,5.57,14.15,320.66,4.182
Maharashtra,Soybean,Kharif,613.23,22.24,28.72,15.54,57.53,7.09,105.13,53.73,37.06,13.51,4.1,444.8,4.114
Bihar,Rice,Kharif,876.23,23.14,30.25,16.2,62.96,6.75,63.46,16.59,23.17,23.83,7.49,1153.21,6.075
Bihar,Maize,Rabi,830.67,30.7,35.42,21.2,75.64,6.79,66.5,30.02,49.57,5.09,14.83,1018.31,3.651
Maharashtra,Rice,Rabi,949.39,28.39,34.44,24.09,81.45,6.21,82.27,47.54,66.59,5.69,13.89,637.99,6.242
Karnataka,Soybean,Kharif,793.72,22.29,29.04,17.51,61.61,6.44,59.29,56.09,35.75,18.29,7.19,859.95,3.696
Maharashtra,Barley,Kharif,951.94,18.35,23.41,10.28,69.49,6.88,64.96,54.62,63.73,24.8,8.21,860.0,5.446
Uttar Pradesh,Maize,Zaid,1139.26,25.45,32.82,17.13,66.45,6.58,61.93,42.35,37.25,10.5,6.88,325.81,5.515
Uttar Pradesh,Maize,Kharif,767.53,29.78,33.9,23.82,82.31,6.2,106.06,22.33,58.41,3.67,4.49,338.65,5.229
Bihar,Rice,Zaid,940.16,29.08,37.29,19.36,38.84,6.52,82.55,26.02,78.45,10.29,10.44,223.23,5.822
Bihar,Barley,Zaid,1066.95,23.21,32.83,14.09,53.54,7.08,68.98,41.61,36.72,6.48,13.73,1123.87,4.818
Punjab,Barley,Zaid,805.1,26.55,33.43,19.81,82.66,6.59,48.93,22.89,53.09,10.54,3.67,1016.06,5.047
Haryana,Soybean,Rabi,836.74,20.64,29.43,11.61,64.07,6.38,31.57,29.5,79.91,5.22,2.73,622.8,4.871
Haryana,Barley,Zaid,903.63,25.24,33.99,19.62,66.32,6.26,31.18,51.63,26.46,10.88,8.51,700.77,4.869
Karnataka,Barley,Zaid,705.67,32.13,36.7,23.76,76.68,7.25,66.12,31.24,18.34,16.97,5.62,987.46,3.777
Bihar,Barley,Zaid,1034.85,33.44,42.25,26.49,62.11,6.56,107.91,14.8,24.98,13.58,1.48,252.81,4.592
Maharashtra,Maize,Kharif,798.12,25.08,32.99,16.14,63.82,6.35,106.08,51.16,50.03,20.57,1.84,594.48,6.162
Haryana,Cotton,Kharif,830.46,26.02,32.81,19.81,40.98,6.17,95.15,15.95,20.59,4.82,3.04,1023.11,3.811
Bihar,Soybean,Zaid,909.98,23.19,29.88,16.84,65.02,7.38,107.29,19.62,29.35,16.57,4.69,934.73,3.977
Maharashtra,Soybean,Rabi,1246.38,23.94,28.24,16.33,42.1,6.43,61.87,47.9,68.73,14.25,6.09,470.7,4.932
Haryana,Soybean,Kharif,1038.03,22.0,26.4,17.99,48.48,6.31,84.63,18.6,72.87,12.01,7.4,1135.54,4.798
Maharashtra,Maize,Kharif,579.84,21.37,26.65,16.77,49.13,6.21,37.61,16.73,70.92,8.35,5.73,255.27,5.115
Haryana,Cotton,Rabi,1045.09,23.55,32.88,13.98,33.18,5.67,31.53,40.98,22.93,21.38,11.44,1019.81,3.772
Maharashtra,Wheat,Zaid,965.27,29.64,39.34,22.18,71.79,6.17,117.86,34.93,47.09,24.29,6.02,597.53,5.524
Punjab,Wheat,Rabi,975.52,29.09,33.71,19.89,52.98,7.51,60.87,31.58,56.15,23.21,14.03,591.49,4.674
Bihar,Rice,Rabi,674.68,27.51,34.84,21.59,74.29,6.48,29.46,18.3,62.0,10.03,3.61,762.67,5.464
Haryana,Cotton,Rabi,666.07,29.31,36.89,21.3,83.44,7.37,59.25,56.2,52.63,0.61,1.06,880.42,3.924
Maharashtra,Wheat,Kharif,372.46,15.93,22.72,11.9,68.01,5.7,107.88,28.65,51.73,7.12,2.83,974.91,4.265
Karnataka,Soybean,Kharif,1036.01,18.12,27.26,13.0,53.42,6.53,57.45,15.06,67.71,12.3,8.68,1182.14,3.765
Bihar,Barley,Rabi,773.54,20.1,28.87,11.07,69.85,6.84,107.43,11.2,48.83,11.86,10.51,363.39,4.292
Maharashtra,Maize,Kharif,506.17,27.14,33.91,20.01,45.93,6.43,38.85,27.21,21.29,23.71,6.37,1008.97,5.017
Karnataka,Rice,Kharif,1446.36,24.93,31.51,18.34,70.27,6.18,119.35,57.94,17.63,17.79,4.88,1102.99,7.417
Bihar,Cotton,Kharif,565.79,27.76,36.77,22.83,60.49,6.2,76.74,29.86,43.93,2.05,14.55,510.65,2.954
Haryana,Cotton,Kharif,1142.3,32.23,40.48,23.25,74.95,6.74,114.34,16.35,66.73,13.87,8.38,1098.92,4.832
Uttar Pradesh,Barley,Rabi,219.25,24.41,30.73,18.24,66.13,7.25,27.74,48.99,43.99,23.3,9.38,235.18,3.821
Haryana,Barley,Kharif,982.58,25.09,34.7,15.22,79.19,6.31,35.36,13.17,27.68,14.43,13.73,737.22,4.186
Haryana,Barley,Zaid,757.85,37.15,46.33,27.46,81.41,5.99,42.59,31.89,76.47,9.77,11.68,740.48,4.143
Haryana,Cotton,Kharif,649.48,30.12,35.49,21.79,73.95,6.34,38.79,15.37,47.35,13.23,7.87,636.67,1.807
Maharashtra,Cotton,Kharif,1096.58,22.68,27.08,15.12,82.26,6.41,25.08,59.07,45.49,22.47,7.4,260.33,4.022
Uttar Pradesh,Soybean,Rabi,1172.78,25.43,34.57,17.64,86.42,6.71,87.19,58.03,39.11,10.91,12.28,705.76,4.352
Maharashtra,Soybean,Rabi,536.03,17.16,21.95,11.97,64.84,5.14,109.47,23.63,22.2,23.92,2.74,397.67,3.476
Haryana,Rice,Rabi,922.59,29.89,34.94,23.74,48.52,6.7,47.34,25.42,23.27,13.98,10.72,269.93,4.987
Uttar Pradesh,Barley,Kharif,596.98,29.56,36.25,20.64,57.5,7.3,37.64,33.37,40.48,6.4,11.4,513.85,3.888
Punjab,Maize,Kharif,1047.03,16.01,21.43,7.43,56.42,7.29,84.3,53.36,79.92,15.53,13.4,1108.61,5.585
Maharashtra,Maize,Rabi,1113.67,25.15,32.01,18.18,71.66,6.69,75.22,51.83,22.06,6.02,12.0,1047.84,5.383
Punjab,Soybean,Zaid,1034.78,27.18,32.79,19.55,62.16,5.43,75.7,24.81,26.04,5.28,1.34,1149.29,4.074
Bihar,Barley,Kharif,711.76,22.36,27.41,13.49,63.25,6.26,34.01,43.89,67.94,6.26,4.51,1164.52,4.847
Bihar,Wheat,Rabi,855.53,24.9,33.53,18.63,47.56,5.74,20.43,38.56,79.62,1.45,3.52,718.91,5.546
Punjab,Maize,Zaid,823.74,17.9,24.12,12.76,53.18,6.23,67.94,53.09,56.75,17.41,14.75,611.84,5.141
Punjab,Rice,Zaid,615.13,25.73,30.31,18.92,47.94,6.31,66.38,24.47,66.74,22.74,12.14,466.03,5.477
Haryana,Rice,Kharif,867.29,22.61,29.02,17.26,43.68,6.69,23.51,18.1,56.55,19.68,3.56,1117.4,6.286
Punjab,Rice,Zaid,932.51,31.39,37.22,23.68,66.75,6.49,98.08,56.93,62.34,11.31,13.21,727.46,5.931
Uttar Pradesh,Rice,Kharif,318.9,29.24,34.67,22.22,63.57,7.2,59.51,49.34,74.35,6.54,11.18,877.97,5.472
Maharashtra,Soybean,Kharif,462.84,29.76,39.27,19.85,51.8,6.44,67.39,59.33,21.1,10.6,13.2,484.05,3.134
Maharashtra,Soybean,Rabi,498.43,26.68,32.48,18.05,45.62,7.09,85.85,51.48,16.59,5.89,10.82,763.52,4.17
Maharashtra,Maize,Kharif,731.57,27.24,33.62,17.57,58.58,5.56,106.66,47.3,72.57,5.79,8.2,979.27,6.377
Haryana,Maize,Zaid,894.8,20.36,28.62,12.55,37.1,6.64,67.61,32.48,56.63,5.44,13.38,1011.75,4.416
Punjab,Barley,Rabi,627.21,26.63,36.16,20.64,72.28,5.7,29.0,16.01,19.63,24.75,1.57,332.54,3.296
Karnataka,Wheat,Zaid,866.12,26.19,35.48,18.36,62.43,5.63,64.74,27.3,45.4,4.66,12.05,460.7,4.902
Uttar Pradesh,Soybean,Kharif,561.4,29.36,38.49,24.89,68.77,6.2,41.66,44.45,74.14,7.73,8.75,489.83,3.723
Karnataka,Barley,Kharif,1348.88,20.85,25.66,12.69,55.67,6.12,27.41,32.34,41.59,2.62,3.72,640.96,5.913
Bihar,Soybean,Kharif,750.7,26.36,33.2,19.36,78.43,6.68,69.18,36.43,54.13,18.57,1.54,715.69,3.306
Bihar,Soybean,Rabi,1001.31,32.06,41.84,25.36,68.62,7.11,29.52,10.03,43.08,19.35,11.14,232.15,3.003
Punjab,Barley,Kharif,752.54,25.8,31.76,17.95,60.08,6.56,43.07,55.29,47.51,19.02,12.82,1198.83,4.12
Haryana,Barley,Zaid,848.43,26.85,34.35,16.89,76.19,6.79,83.9,53.0,75.64,5.49,8.16,1032.84,5.649
Haryana,Barley,Rabi,657.26,24.87,33.66,19.25,51.59,6.75,76.08,35.28,56.38,10.5,11.36,533.55,4.397
Punjab,Barley,Rabi,1043.37,18.51,25.19,13.15,65.39,5.83,22.12,25.82,26.51,16.57,4.49,264.95,4.215
Uttar Pradesh,Barley,Rabi,1079.62,27.97,35.61,21.3,51.98,7.35,100.28,54.65,15.72,4.88,13.61,749.49,5.217
Haryana,Wheat,Zaid,726.4,22.92,30.52,13.2,43.06,6.94,67.72,27.98,29.59,1.63,5.61,911.41,5.351
Karnataka,Rice,Rabi,616.02,27.0,35.86,18.73,77.29,6.03,80.34,22.28,17.77,5.98,7.1,613.93,5.267
Uttar Pradesh,Cotton,Kharif,727.99,31.36,40.93,27.25,72.43,5.8,21.21,48.15,78.06,22.69,14.58,750.32,3.347
Punjab,Wheat,Zaid,179.52,22.92,30.35,18.0,47.41,5.84,92.98,52.45,45.71,12.99,5.03,1169.46,4.887
Maharashtra,Cotton,Kharif,1011.13,17.4,24.19,7.75,80.52,5.69,105.96,28.91,70.36,6.42,9.47,1126.67,4.194
Karnataka,Wheat,Zaid,766.47,16.99,25.03,10.95,54.55,7.7,95.38,24.26,36.78,21.22,8.04,1042.73,5.553
Bihar,Barley,Zaid,787.0,23.07,32.38,16.13,61.75,6.36,88.75,12.37,33.63,3.92,6.9,614.35,4.426
Maharashtra,Rice,Kharif,1223.25,19.3,27.21,14.65,67.61,7.45,65.65,29.7,67.67,9.76,8.19,793.52,6.323
Karnataka,Wheat,Rabi,681.21,21.97,26.57,13.27,71.54,6.64,80.14,48.19,33.51,19.8,9.67,1129.16,6.366
Maharashtra,Soybean,Kharif,945.48,27.26,33.28,17.33,63.87,5.83,104.27,26.2,46.19,24.46,7.39,330.92,4.125
Karnataka,Maize,Zaid,704.73,28.91,38.49,21.89,55.52,6.58,70.45,52.98,44.14,7.35,12.9,589.89,4.791
Haryana,Barley,Zaid,995.09,24.02,30.37,18.81,59.45,7.1,87.48,23.17,38.09,9.05,10.89,666.51,4.421
Bihar,Rice,Kharif,995.3,28.49,37.89,22.43,74.2,5.77,32.39,21.92,63.56,3.7,12.2,1136.91,5.14
Maharashtra,Wheat,Zaid,531.66,34.61,39.59,27.5,61.29,6.4,81.31,10.71,75.3,6.98,1.07,308.25,3.993
Haryana,Soybean,Rabi,862.43,19.57,25.84,13.26,39.13,5.95,28.97,11.26,28.14,19.04,14.87,1128.53,3.187
Bihar,Soybean,Rabi,952.92,26.98,36.04,17.6,74.83,6.56,100.64,25.42,75.4,2.81,14.92,970.09,3.84
Karnataka,Rice,Kharif,1019.81,24.6,33.4,16.99,52.43,6.02,47.59,30.71,17.76,11.48,4.35,592.74,5.798
Haryana,Wheat,Zaid,897.32,29.86,35.83,22.85,55.29,6.54,70.27,17.59,37.88,14.36,6.49,1023.91,5.318
Bihar,Rice,Zaid,766.83,27.62,36.65,22.77,67.99,7.01,101.82,39.21,32.12,23.28,2.17,763.86,6.032
Maharashtra,Rice,Kharif,1056.05,24.18,31.25,18.63,73.78,5.99,113.71,54.74,27.09,8.42,9.02,918.06,6.594
Punjab,Cotton,Rabi,642.33,32.51,39.4,22.97,79.97,8.19,112.96,57.37,35.46,9.2,7.06,616.16,3.207
Bihar,Cotton,Zaid,955.83,28.54,32.77,20.62,90.45,6.64,29.4,57.49,63.65,21.97,2.48,520.16,4.611
Karnataka,Rice,Zaid,1009.74,21.34,27.56,15.82,67.08,5.39,46.19,41.35,40.23,8.96,8.24,971.86,6.056
Haryana,Rice,Rabi,785.24,23.72,32.48,19.37,59.79,6.97,118.67,32.92,21.03,14.27,2.34,951.52,6.475
Uttar Pradesh,Barley,Kharif,523.18,26.46,34.14,17.94,55.47,5.84,23.64,37.81,29.06,21.58,9.9,620.22,3.375
Uttar Pradesh,Barley,Rabi,646.83,20.78,30.11,12.2,54.17,6.32,117.21,45.41,54.68,8.04,4.84,239.52,4.331
Punjab,Soybean,Rabi,837.97,31.83,41.52,23.29,73.1,5.07,63.61,26.23,48.91,11.06,9.17,1098.12,2.774
Maharashtra,Soybean,Kharif,807.1,28.39,34.11,23.34,62.43,5.39,111.92,11.63,19.35,10.38,1.66,462.73,2.612
Haryana,Maize,Kharif,1264.96,23.27,30.26,15.78,65.16,7.16,33.86,31.42,59.83,21.77,5.86,767.75,4.978
Uttar Pradesh,Rice,Kharif,1114.59,23.87,32.21,19.47,95.0,6.05,28.89,11.19,18.66,21.41,3.9,748.27,5.848
Uttar Pradesh,Wheat,Kharif,1275.78,26.07,36.0,21.17,74.92,6.67,67.76,54.32,58.24,17.29,4.32,618.57,7.115
Haryana,Maize,Rabi,1126.71,31.7,37.21,25.51,71.2,5.17,80.21,16.69,60.1,21.27,3.94,350.6,4.951
Punjab,Maize,Kharif,868.63,39.84,44.11,31.35,75.13,7.39,95.61,27.96,15.71,15.08,14.87,457.62,4.059
Maharashtra,Cotton,Kharif,993.34,29.11,37.63,19.75,50.78,5.19,75.59,24.87,36.44,23.33,10.39,1174.59,3.506
Karnataka,Cotton,Kharif,1407.02,33.4,38.82,26.23,54.4,6.97,32.38,19.9,64.75,2.87,13.55,925.7,3.948
Bihar,Wheat,Zaid,830.92,24.63,32.94,17.11,58.8,6.91,115.7,39.38,58.18,11.21,11.46,1197.67,6.399
Haryana,Cotton,Kharif,917.94,21.56,28.99,17.27,62.8,6.11,78.52,42.87,61.81,16.22,11.96,824.76,4.207
Uttar Pradesh,Wheat,Rabi,913.96,24.23,33.46,16.15,54.19,7.45,42.17,46.7,68.78,15.04,9.07,538.59,5.751
Bihar,Wheat,Zaid,440.54,24.6,30.81,20.29,66.21,7.18,57.34,57.21,47.83,6.25,2.03,538.31,4.898
Bihar,Barley,Rabi,639.24,21.08,27.5,16.78,63.44,6.54,72.21,37.61,28.76,20.58,7.73,233.88,4.092
Bihar,Soybean,Zaid,1030.2,23.32,27.64,13.68,55.07,6.25,84.23,33.13,42.28,3.43,1.9,432.73,3.928
Punjab,Maize,Kharif,695.39,22.13,27.11,14.75,72.94,6.51,111.22,17.55,74.37,22.61,12.52,831.29,4.534
Karnataka,Rice,Rabi,1017.67,24.6,34.35,17.09,67.61,6.48,21.24,35.49,47.97,11.21,5.43,449.83,5.984
Punjab,Barley,Rabi,695.61,29.83,35.59,22.57,91.53,6.43,115.0,24.26,60.03,1.11,4.3,663.72,4.966
Karnataka,Barley,Zaid,1052.27,33.61,40.71,25.98,61.31,6.14,30.0,42.75,79.71,0.89,8.58,951.01,5.222
Punjab,Maize,Rabi,802.65,34.91,39.65,25.35,62.43,5.42,27.67,19.73,15.25,11.41,5.35,365.99,4.211
Maharashtra,Cotton,Kharif,903.83,26.73,34.64,21.98,54.56,5.98,28.87,30.34,76.26,23.79,6.46,867.4,3.899
Maharashtra,Soybean,Zaid,781.38,36.1,41.5,28.11,44.85,6.44,101.93,34.64,65.24,7.14,7.67,397.48,4.329
Uttar Pradesh,Wheat,Rabi,928.97,26.23,35.99,20.86,78.6,5.94,62.25,38.02,37.27,7.57,4.0,282.43,5.822
Karnataka,Soybean,Zaid,933.88,21.92,28.71,16.67,81.47,5.91,91.66,48.0,52.37,21.64,4.72,1081.62,5.159
Uttar Pradesh,Cotton,Zaid,987.32,21.83,31.79,15.31,73.56,5.54,65.29,56.35,40.64,14.35,2.04,425.78,4.474
Bihar,Soybean,Rabi,1109.37,21.51,30.35,12.14,74.93,5.7,66.73,40.71,44.07,10.27,7.34,782.0,4.317
Maharashtra,Maize,Kharif,680.33,34.29,40.34,25.48,83.45,6.63,78.27,24.27,63.05,6.35,10.24,455.12,4.583
Maharashtra,Wheat,Zaid,851.17,31.7,40.95,26.71,79.49,6.3,59.33,53.54,59.77,13.55,6.12,1012.3,5.262
Maharashtra,Maize,Kharif,815.59,34.2,39.22,26.34,93.71,5.87,44.97,16.97,70.94,6.05,7.8,1190.87,4.734
Karnataka,Maize,Rabi,948.96,20.96,27.42,15.95,47.85,6.25,33.67,29.67,73.04,0.57,4.83,755.04,5.606
Haryana,Cotton,Rabi,956.74,24.8,31.98,16.56,71.1,5.44,104.44,18.75,64.71,9.33,11.85,406.27,3.835
Bihar,Soybean,Rabi,1133.11,16.45,25.48,11.97,64.24,6.28,106.97,44.92,58.82,13.36,9.97,1119.11,5.076
Haryana,Wheat,Rabi,1033.78,31.93,38.6,23.88,69.8,5.0,36.18,49.98,72.68,1.7,11.43,554.73,5.122
Punjab,Cotton,Rabi,885.62,31.2,35.82,23.37,80.48,5.46,89.19,44.34,50.05,23.41,6.09,1035.86,3.47
Uttar Pradesh,Rice,Rabi,563.57,34.64,42.12,26.88,60.17,5.93,97.04,59.91,47.01,2.0,9.14,319.02,5.021
Karnataka,Cotton,Kharif,1080.13,23.65,27.92,14.41,52.38,6.73,22.83,37.93,33.36,15.12,6.8,1123.31,4.04
Uttar Pradesh,Soybean,Zaid,1041.83,22.53,32.41,14.09,75.67,6.17,101.25,46.82,29.43,11.55,7.21,1026.41,4.914
Bihar,Maize,Rabi,755.94,39.17,43.45,30.45,70.59,5.89,44.54,20.47,53.21,6.2,1.43,967.51,4.348
Maharashtra,Cotton,Rabi,723.13,23.75,29.68,15.2,55.57,6.19,63.17,47.39,44.76,10.65,8.12,517.72,3.428
Bihar,Maize,Rabi,1042.34,21.09,30.67,16.87,85.71,5.35,22.03,22.48,22.7,5.81,4.48,601.31,4.363
Punjab,Wheat,Rabi,732.24,18.69,25.99,12.71,75.12,5.58,22.42,57.07,22.04,3.61,2.62,1181.28,5.773
Karnataka,Cotton,Rabi,648.65,30.9,36.13,23.16,70.92,6.44,113.12,17.46,79.81,9.79,9.91,1167.91,4.013
Bihar,Barley,Rabi,703.79,20.77,25.67,13.57,74.43,7.09,35.5,22.21,70.54,1.34,10.78,1199.39,4.389
Punjab,Barley,Kharif,654.25,18.66,26.76,11.13,95.0,5.85,79.43,20.38,51.6,22.11,10.17,671.79,3.946
